video_no,video_id,url,title,topic,subtopic,metric,rank,keyword,score,embedding_raw,embedding_norm,vlm_rrf_norm,vlm_rank
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,1,Powers of i,0.650338,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,2,Center of mass of a 1D object,0.60269,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,3,Modulus of a complex number,0.593071,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,4,Area of a region between two or more curves,0.587742,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,5,Volume of a solid of revolution,0.53922,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,1,Powers of i,0.861748,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,2,Area of a region between two or more curves,0.825197,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,3,Center of mass of a 1D object,0.814571,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,4,Powers of complex numbers,0.78574,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,5,Volume of a solid of revolution,0.782016,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,1,Powers of i,1.0,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,2,Center of mass of a 1D object,0.944311,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,3,Area of a region between two or more curves,0.937111,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,4,Modulus of a complex number,0.894318,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,5,Volume of a solid of revolution,0.882364,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,1,Powers of i,1.0,0.650338,1.0,1.0,1
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,2,Powers of complex numbers,0.87767,0.486367,0.747868,0.983871,2
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,3,Imaginary part,0.813546,0.406109,0.624458,0.968254,3
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,4,Operations with complex numbers,0.77439,0.361547,0.555937,0.953125,4
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,5,Nth root,0.773208,0.371493,0.571231,0.938462,5
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,1,Powers of i,1.0,0.861748,1.0,1.0,1
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,2,Powers of complex numbers,0.963498,0.78574,0.938598,0.983871,2
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,3,Operations with complex numbers,0.915701,0.700776,0.86996,0.953125,4
